№,Название,Тип,Цена (₽),Размер,Состав,Упаковка,Описание,Тег,Варианты
1,Букет из роз Кения,Букет,6800,35*50,Роза Кения 19,"упаковка, лента","Нежный и утончённый букет. Роза Кения розового оттенка, символизирующей любовь, заботу и теплоту. Минималистичная упаковка нежно-розового цвета подчёркивает красоту цветка, делая его идеальным подарком для дорогого человека. Этот букет дарит мгновение радости и наполняет день светом и нежностью.",,
2,Легкое очарование,Букет,13100,50*50,"Лизиантус 6, писташ 2, эвкалипт 2, диантус 6, Роза кустовая пионовидная","упаковка, лента","Сборный букет в мягкой и гармоничной цветовой гамме. Пионовидная кустовая роза создаёт выразительный центр, лизиантус и диантус добавляют лёгкость и воздушность, а писташ и эвкалипт оживляют композицию зелёными акцентами. Матовая упаковка и аккуратная лента делают букет стильным, современным и идеально подходящим для знака внимания или подарка без повода.",,
3,«Лёгкая свежесть»,Букет,4800,35*45,"Танацетум 7, хризантема Алтай 3","упаковка, лента",Минималистичный и свежий букет с танацетумом и хризантемой «Алтай». Матовая прозрачная упаковка и аккуратная лента подчёркивают воздушность и естественную красоту композиции. Идеальный вариант для лёгкого комплимента или светлого подарка без повода.,,
4,Современная романтика,Букет,9900,40*35,"Тюльпан 25, Ларгус 15",Упаковка 1,"Нежный букет с розовыми тюльпанами и ларгусом, оформленный в белую бумагу с розовой тишью. Лёгкость и свежесть композиции подчёркивает аккуратная розовая лента, делая букет утончённым и гармоничным. Идеальный подарок для романтического жеста, тёплого комплимента или светлого праздничного момента.",,
5,Простая нежность,Букет,7400,35*40,"Эвкалипт 2, Роза кустовая пионовидная 7","упаковка, лента","Минималистичный букет с пышной пионовидной кустовой розой и свежим эвкалиптом. Дизайнерская упаковка подчёркивает естественную красоту цветов, создавая утончённый и стильный подарок. Идеальный выбор для романтического жеста, элегантного комплимента или особенного момента.",,
6,Яркое признание,Букет,9100,70*20,Роза Эквадор 15,Лента 1,"Классический букет из 15 красных эквадорских роз, перевязанный лентой. Насыщенный цвет и крупные бутоны подчёркивают силу чувств и делают этот букет идеальным выбором для признания в любви, особого события или яркого жеста внимания.",,
7,Нежный объем,Букет,5800,30*45,"Роза кустовая пионовидная 2, Роза Эквадор 7, Эвкалипт 2",Упаковка,"Элегантный букет с пионовидной кустовой розой и розой Эквадор, дополненный свежим эвкалиптом. Матовая зелёная упаковка и лента подчёркивают естественность и гармонию композиции. Идеальный выбор для романтического подарка или утончённого знака внимания.",,
8,Естественная симфония,Композиция,5800,25*25,"Хризантема кустовая 1, Сантини 1, Альстромерия 1, Диантус зеленый 1, Хризантема одноголовая 1, Астранция 2, Рускус 2, Сафари 1, Ларгус 9","Коробка 1, Оазис 1","Объёмная и текстурная композиция в коробке на оазисе. В букете гармонично сочетаются кустовые и одноголовые хризантемы, астранция, сантини, альстромерия, диантус и декоративные зелёные акценты — рускус, сафари и ларгус. Разнообразие форм и фактур создаёт живой, естественный образ, а аккуратная упаковка с лентой подчёркивает премиальный характер композиции. Идеально для подарка, который впечатляет своим размахом и вниманием к деталям.",,
9,Чистая любовь,Букет,5800,40*40,"Альстромерия 2, Роза кустовая 1, хризантема кустовая 2, Роза белая 1, сантини 2, астранция 2","упаковка, лента","Светлый и утончённый букет в бело-розовой палитре. Белые розы, астранция и одноголовые хризантемы создают ощущение чистоты и спокойствия, а розовые кустовые розы и альстромерия добавляют мягкого тепла и романтики. Ромашковые сантинии придают композиции лёгкость и естественность. Матовая розовая упаковка с лентой подчёркивает нежный характер букета.",,
10,«Светлая радость»,Букет,5900,40*40,"Альстромерия 2, Роза кустовая 1, хризантема кустовая 1, сантини 2, хризантема одноголовая 1, оксипеталум 3, астранция 2",,"Воздушный букет в мягкой бело-розовой палитре с освежающим голубым акцентом. Белые розы, астранция и хризантемы создают ощущение чистоты и лёгкости, розовые кустовые розы добавляют нежное тепло, а оксипеталум придаёт композиции свежий, почти небесный оттенок. Матовая нежно-лимонная упаковка с лентой подчёркивает солнечный характер букета и делает его особенно тёплым и жизнерадостным.",,
11,Нежность в деталях,Букет,5900,30*40,"Альстромерия 1, лизиантус 1, Роза кустовая 1, сантини 3, оксипеталум 1, астранция 2","упаковка, лента","Воздушный букет в пудрово-розовой палитре с нежным голубым акцентом. Ранункулус и кустовые розы создают мягкий объём, астранция и сантинии добавляют лёгкость, а белый лизиантус и оксипеталум наполняют композицию свежестью. Прозрачная матовая упаковка подчёркивает естественную красоту цветов и делает букет особенно изящным.",,
12,Лунный сад,Букет,4200,30*40,"Альстромерия 2, маттиола 1, Роза белая 1, сантини 2, астранция 2","упаковка, лента","Нежный букет в светлой палитре с тонким сиреневым акцентом. Белые розы и альстромерия создают ощущение чистоты, астранция и сантинии добавляют лёгкость, а матиола — мягкий весенний аромат. Матовая нежно-салатовая упаковка подчёркивает свежесть композиции.",,
13,Белый шелк,Букет,4800,25*45,"Роза белая 5, астранция 4","упаковка, лента","Минималистичный букет, в котором белая роза и астранция звучат чисто и изящно. Лёгкий, воздушный образ без лишних деталей — про вкус, спокойствие и утончённость. Белая бумажная упаковка и лента подчёркивают естественную красоту цветов.",,
